k,weight_factor,penalty_factor,MSE
1,1,1,44.529144672950466
1,1,3,42.70789518152135
1,1,8,41.44199849919691
1,1,12,41.21685697073435
1,1,13,41.12306400681752
1,1,14,41.09064386930492
1,1,16,41.12010201705915
1,15,1,44.529144509162265
1,15,3,42.707742230525945
1,15,8,41.35988821201018
1,15,12,41.1346636286329
1,15,13,41.04087058134167
1,15,14,41.008450364236545
1,15,16,41.03790835793255
1,30,1,44.52908285171603
1,30,3,42.625695986451404
1,30,8,41.35922439392712
1,30,12,41.13226797219638
1,30,13,41.03782735049285
1,30,14,41.004698219184135
1,30,16,41.032594219815884
1,40,1,44.52564208184763
1,40,3,42.625482208222
1,40,8,41.31472658687239
1,40,12,41.06499306646186
1,40,13,40.96993904307973
1,40,14,40.936775895686914
1,40,16,40.96547362786868
1,41,1,44.52393360410396
1,41,3,42.62538904939763
1,41,8,41.304934072529996
1,41,12,41.06307775843451
1,41,13,40.96866570448286
1,41,14,40.935882463269195
1,41,16,40.964948208775894
1,42,1,44.52142255870253
1,42,3,42.6252565657325
1,42,8,41.29733337595819
1,42,12,41.062134784592956
1,42,13,40.96802534712943
1,42,14,40.93540349364547
1,42,16,40.96460107281345
1,45,1,44.50516726672226
1,45,3,42.62442283011743
1,45,8,41.287886302394824
1,45,12,41.060958098237506
1,45,13,40.96697339818418
1,45,14,40.93436801133937
1,45,16,40.96346530809853
1,50,1,44.428177838561396
1,50,3,42.618621383572446
1,50,8,41.28560421454895
1,50,12,41.05801622324416
1,50,13,40.96346625567718
1,50,14,40.930245671189084
1,50,16,40.958011698203364
2,1,1,43.5981970363207
2,1,3,42.041820036767746
2,1,8,41.11185163365577
2,1,12,40.915521432728106
2,1,13,40.9058825896149
2,1,14,40.87812715625968
2,1,16,40.831766557882936
2,15,1,43.60280933524216
2,15,3,42.026151571655575
2,15,8,41.000808845492536
2,15,12,40.80137771554982
2,15,13,40.79101529465824
2,15,14,40.76264973718803
2,15,16,40.71437237598436
2,30,1,43.6201966596067
2,30,3,41.9509914546043
2,30,8,41.00181385121972
2,30,12,40.7987596573766
2,30,13,40.787197390831956
2,30,14,40.75766512722286
2,30,16,40.70621390864008
2,40,1,43.6309606446057
2,40,3,41.95875287110784
2,40,8,40.96274683760042
2,40,12,40.73599316482255
2,40,13,40.7234943599243
2,40,14,40.69365206182737
2,40,16,40.642051626154085
2,41,1,43.630735118897796
2,41,3,41.95953047484762
2,41,8,40.95358311775285
2,41,12,40.734622926930264
2,41,13,40.7227355901527
2,41,14,40.69324697355933
2,41,16,40.64192572039833
2,42,1,43.62971979929005
2,42,3,41.960278513356464
2,42,8,40.946622048697385
2,42,12,40.73423643196289
2,42,13,40.72262185306362
2,42,14,40.69326897909786
2,42,16,40.64199237283303
2,45,1,43.618048340080826
2,45,3,41.96213781773199
2,45,8,40.93914596116498
2,45,12,40.73479281304937
2,45,13,40.723217146057515
2,45,14,40.693806650583014
2,45,16,40.642176665503115
2,50,1,43.54884285609948
2,50,3,41.96096040468912
2,50,8,40.94028734280986
2,50,12,40.73491605348907
2,50,13,40.722641305566775
2,50,14,40.69250012387361
2,50,16,40.63914540166061
