k,weight_factor,penalty_factor,MSE
1,1,0.1,3.3222453105660064
1,1,0.2,3.048856538615048
1,1,0.3,2.8804573716924353
1,1,0.6,2.6392931331050025
1,1,0.7,2.635135129523807
1,1,0.8,2.541580037106954
1,1,0.9,2.562370058093244
1,1,1,2.5395010355744536
1,30,0.1,3.3222453083123304
1,30,0.2,3.0488565364565
1,30,0.3,2.880457369744239
1,30,0.6,2.6392931316547448
1,30,0.7,2.6351351281704494
1,30,0.8,2.5415800359891816
1,30,0.9,2.5623700570780326
1,30,1,2.539501034661582
1,80,0.1,3.322245303210779
1,80,0.2,3.048856531509814
1,80,0.3,2.8804573652472616
1,80,0.6,2.6392931282970378
1,80,0.7,2.635135125039136
1,80,0.8,2.541580033409765
1,80,0.9,2.5623700547903576
1,80,1,2.5395010326396226
1,120,0.1,3.3222452976363757
1,120,0.2,3.0488565260411167
1,120,0.3,2.880457360242662
1,120,0.6,2.639293124568356
1,120,0.7,2.635135121576071
1,120,0.8,2.5415800305841207
1,120,0.9,2.562370052372642
1,120,1,2.5395010305675005
1,140,0.1,3.3222452941953335
1,140,0.2,3.048856522643343
1,140,0.3,2.8804573571222476
1,140,0.6,2.6392931222560354
1,140,0.7,2.6351351194395956
1,140,0.8,2.5415800288608845
1,140,0.9,2.562370050945658
1,140,1,2.539501029383413
1,145,0.1,3.3222452932549467
1,145,0.2,3.04885652171255
1,145,0.3,2.88045735626636
1,145,0.6,2.639293121623979
1,145,0.7,2.635135118857314
1,145,0.8,2.5415800283942804
1,145,0.9,2.562370050565775
1,145,1,2.539501029073901
1,150,0.1,3.322245292279962
1,150,0.2,3.0488565207466336
1,150,0.3,2.8804573553777573
1,150,0.6,2.6392931209688486
1,150,0.7,2.635135118254593
1,150,0.8,2.541580027912761
1,150,0.9,2.5623700501767495
1,150,1,2.539501028759661
1,180,0.1,3.3222452856229165
1,180,0.2,3.0488565141319737
1,180,0.3,2.8804573492837
1,180,0.6,2.639293116508873
1,180,0.7,2.6351351141751596
1,180,0.8,2.5415800246960987
